premise,hypothesis,target,source,labels
Money raised from the sale will go into a trust for Hepburn's family.,Proceeds go to Hepburn's family.,[0. 0.],"[Proceeds go, to Hepburn's family]","entailment, entailment"
"As an active member of the National Guard, he was called to duty in 1941. Although Kennon did not see active combat, he did not return home from World War II until May of 1945.",Kennon did not participate in WWII.,[0. 0.],"[Kennon did not participate, in WWII]","not_entailment, not_entailment"
The Auburn High School Athletic Hall of Fame recently introduced its Class of 2005 which includes 10 members.,The Auburn High School Athletic Hall of Fame has ten members.,[0. 0.],"[The Auburn High School Athletic Hall of Fame, has ten members]","not_entailment, not_entailment"
"MEXICO CITY (Reuters) - A deadly strain of swine flu never seen before has broken out in Mexico, killing as many as 60 people and raising fears it is spreading across North America. The World Health Organization said it was concerned about what it called 800 ""influenza-like"" cases in Mexico, and also about a confirmed outbreak of a new strain of swine flu in the United States. It said about 60 people had died in Mexico. Mexico's government said it had confirmed that at least 16 people had died of the swine flu in central Mexico and that there could be another 45 fatal victims.",800 Mexicans have been affected by a new form of swine influenza.,[0. 0. 0.],"[800 Mexicans, have been affected, by a new form of swine influenza]","entailment, entailment, entailment"
Doctors who treated Ayrton Senna after he crashed during the San Marino Grand Prix have denied allegations that the Brazilian driver died at the Imola track.,Ayrton Senna had the accident that caused his death at the San Marino Grand Prix.,[0. 0. 0. 0.],"[Ayrton Senna, had the accident that, caused his death, at the San Marino Grand Prix]","entailment, entailment, entailment, entailment"
Two Turkish engineers and an Afghan translator kidnapped in December were freed Friday.,translator kidnapped in Iraq,[0.],[translator kidnapped in Iraq],not_entailment
Successful plaintiffs recovered punitive damages in Texas discrimination cases 53% of the time.,Legal costs to recover punitive damages are a deductible business expense.,[0. 0.],"[Legal costs to recover punitive damages, are a deductible business expense]","not_entailment, not_entailment"
"With the city's hotels in the midst of a sudden slowdown in business, operators are seeking wage cuts and other concessions from the unions representing 27,500 bellhops, housekeepers and waiters. But the unions are drawing a line across hotel lobbies, from the high-end Carlyle to the more budget-minded Ramada Inn, saying they see no need to bend now that operators are cutting rates in an effort to fill vacant rooms with tourists, executives and other travelers. It is far too soon to judge the financial health of the industry, said Peter Ward, president of the New York Hotel and Motel Trades Council, an alliance of hotel unions.",The New York Hotel and Motel Trades Council is an alliance of hotel unions.,[0. 0. 0.],"[The New York Hotel, and Motel Trades Council, is an alliance of hotel unions]","entailment, entailment, entailment"
The discovery is based on velocity measurements of a whirlpool of hot gas orbiting the black hole.,Hubble discovers black holes.,[0.],[Hubble discovers black holes],not_entailment
"A place of sorrow, after Pope John Paul II died, became a place of celebration, as Roman Catholic faithful gathered in downtown Chicago to mark the installation of new Pope Benedict XVI.",Pope John Paul II died.,[0. 0.],"[Pope John Paul II, died]","entailment, entailment"
