premise,hypothesis,chunks1,chunks2,labels
A young girl jumping at a beach.,A girl playing inside.,"[A young girl, A young girl, jumping at a beach]","[playing inside, A girl, playing inside]","[unaligned, entailAlign, contradictAlign]"
A blond woman passes time in a waiting room by reading a magazine.,The woman is waiting to see her doctor.,"[A blond woman, A blond woman, passes time, passes time in a waiting room, by reading a magazine]","[is waiting, The woman, to see her doctor, is waiting, is waiting]","[unaligned, entailAlign, neutralAlign, entailAlign, unaligned]"
A blond woman passes time in a waiting room by reading a magazine.,A woman is in a waiting room.,"[A blond woman, A blond woman, passes time, in a waiting room]","[is in a waiting room, A woman, is in a waiting room, is in a waiting room]","[unaligned, entailAlign, unaligned, entailAlign]"
A blond woman passes time in a waiting room by reading a magazine.,A brunette woman passes time in a waiting room by reading a magazine.,"[A blond woman, A blond woman, passes time, passes time, in a waiting room, in a waiting room, by reading a magazine]","[in a waiting room, A brunette woman, in a waiting room, passes time, by reading a magazine, in a waiting room, by reading a magazine]","[unaligned, contradictAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A group of people in dark colored clothing are line dancing on a wooden floor.,People are sitting on a lawn.,"[A group of people, A group of people, in dark colored clothing, are line dancing on a wooden floor]","[sitting on a lawn, People, sitting on a lawn, are sitting on a lawn]","[unaligned, entailAlign, unaligned, contradictAlign]"
A group of people in dark colored clothing are line dancing on a wooden floor.,A group of older people are line dancing.,"[A group of people, A group of people, in dark colored clothing, are line dancing]","[are line dancing, A group of older people, are line dancing, are line dancing]","[unaligned, neutralAlign, unaligned, entailAlign]"
A group of people in dark colored clothing are line dancing on a wooden floor.,People are dancing.,"[A group of people, A group of people, in dark colored clothing, are line dancing]","[dancing, People, dancing, are dancing]","[unaligned, entailAlign, unaligned, entailAlign]"
A few women are in a room holding drinks.,Children ride a train in the park.,"[A few women, A few women, are in a room, holding drinks]","[in the park, Children, ride a train, in the park]","[unaligned, neutralAlign, neutralAlign, unaligned]"
A few women are in a room holding drinks.,Women in a room with drinks.,"[A few women, are in a room, A few women, holding drinks]","[with drinks, in a room, Women, with drinks]","[unaligned, entailAlign, entailAlign, entailAlign]"
A few women are in a room holding drinks.,A group of women drinking in a room.,"[A few women, A few women, are in a room, holding drinks]","[drinking in a room, A group of women, in a room, drinking]","[unaligned, entailAlign, entailAlign, neutralAlign]"
Several people are milling about outside a large off-white colored house with a terra cotta roof while someone in the distance takes their picture.,Several people talking about future investment,"[Several people, Several people, are milling about outside a large off-white colored house, with a terra cotta roof, while someone in the distance takes their picture]","[talking about future investment, Several people, talking about future investment, talking about future investment, talking about future investment]","[unaligned, entailAlign, neutralAlign, unaligned, unaligned]"
Several people are milling about outside a large off-white colored house with a terra cotta roof while someone in the distance takes their picture.,Some people pose for a photo in a portrait studio.,"[Several people, Several people, are milling, about outside a large off-white colored house, with a terra cotta roof, takes their picture, takes their picture]","[in a portrait studio, Some people, pose for a photo, in a portrait studio, in a portrait studio, in a portrait studio, pose for a photo]","[unaligned, entailAlign, neutralAlign, unaligned, unaligned, unaligned, entailAlign]"
Several people are milling about outside a large off-white colored house with a terra cotta roof while someone in the distance takes their picture.,There is a house with no one outside of it.,"[Several people, Several people are milling about outside a large off-white colored house, with a terra cotta roof, while someone in the distance takes their picture, a large off-white colored house]","[There is, with no one outside of it, There is, with no one, a house]","[unaligned, contradictAlign, unaligned, unaligned, entailAlign]"
This is a teen or young adult with braids in their hair sitting in a chair with a yellow pillow in their lap.,Teen in braids sitting in a chair with a yellow pillow.,"[a teen or young adult with braids, a teen or young adult with braids, in their hair, sitting in a chair, sitting in a chair, with a yellow pillow]","[with a yellow pillow, Teen in braids, with a yellow pillow, with a yellow pillow, sitting in a chair, with a yellow pillow]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, entailAlign]"
This is a teen or young adult with braids in their hair sitting in a chair with a yellow pillow in their lap.,The girl is sitting cross-legged while holding something,"[This is a teen or young adult with braids, This is a teen or young adult with braids, sitting in a chair, in their hair, sitting in a chair, with a yellow pillow in their lap]","[is sitting cross-legged, The girl, is sitting cross-legged, is sitting cross-legged, while holding something, while holding something]","[unaligned, neutralAlign, neutralAlign, unaligned, unaligned, entailAlign]"
This is a teen or young adult with braids in their hair sitting in a chair with a yellow pillow in their lap.,the girl with ruffled hair is standing outside not holding anything.,"[This is, This is a teen or young adult with braids, a teen or young adult, with braids, This is a teen or young adult with braids, with braids, in their hair, sitting in a chair, with a yellow pillow in their lap]","[is standing outside, is standing outside, the girl, with ruffled hair, with ruffled hair, is standing outside, not holding anything, not holding anything, not holding anything]","[unaligned, unaligned, neutralAlign, contradictAlign, unaligned, unaligned, unaligned, unaligned, contradictAlign]"
A man bundled up in a coat displaying with his arms a bunch of clothes.,A man holds pants in his arm with his coat on,"[A man, bundled up in a coat, displaying with his arms a bunch of clothes, a bunch of clothes]","[A man, with his coat on, holds pants in his arm, in his arm]","[entailAlign, entailAlign, neutralAlign, unaligned]"
A man bundled up in a coat displaying with his arms a bunch of clothes.,The man has clothes in his arms and is wearing a coat,"[A man, A man, bundled up in a coat, displaying with his arms a bunch of clothes]","[and is, The man, wearing a coat, has clothes in his arms]","[unaligned, entailAlign, entailAlign, entailAlign]"
A man bundled up in a coat displaying with his arms a bunch of clothes.,A naked man.,"[A man bundled up in a coat, displaying with his arms a bunch of clothes]","[A naked man, A naked man]","[contradictAlign, unaligned]"
A person attempting a stunt using a snowboard and some wooden pallets while it is dark outside with snow on the ground.,Someone is trying to do something active outside of daylight hours.,"[A person, attempting a stunt, using a snowboard and some wooden pallets, while it is dark outside, with snow on the ground]","[trying to, is trying to do something active, outside of daylight hours, outside of daylight hours, do something active]","[unaligned, entailAlign, unaligned, entailAlign, unaligned]"
A person attempting a stunt using a snowboard and some wooden pallets while it is dark outside with snow on the ground.,A person is sleeping in his bed.,"[A person, attempting a stunt, using a snowboard and some wooden pallets, while it is dark outside, with snow on the ground]","[is sleeping, is sleeping, is sleeping, in his bed, in his bed]","[unaligned, contradictAlign, unaligned, entailAlign, neutralAlign]"
A person attempting a stunt using a snowboard and some wooden pallets while it is dark outside with snow on the ground.,A person is attempting a stunt.,"[A person, A person, attempting a stunt]","[is attempting a stunt, A person, is attempting a stunt]","[unaligned, entailAlign, entailAlign]"
2 men racing in go-carts.,Two men are on a go-cart track.,"[2 men, racing in go-carts, 2 men, racing in go-carts]","[are on a go-cart track, Two men, Two men, are on a go-cart track]","[unaligned, unaligned, entailAlign, neutralAlign]"
2 men racing in go-carts.,Two men are reading the paper.,"[2 men, 2 men, racing in go-carts]","[are reading the paper, Two men, are reading the paper]","[unaligned, entailAlign, contradictAlign]"
2 men racing in go-carts.,Two men are racing.,"[2 men, 2 men, racing in go-carts, racing in go-carts]","[are racing, Two men, Two men, are racing]","[unaligned, entailAlign, unaligned, entailAlign]"
A group of African children are dressed in colorful clothes.,The group of children dressed in colorful clothing.,"[A group of African children, A group of African children, are dressed in colorful clothes]","[dressed in colorful clothing, The group of children, dressed in colorful clothing]","[unaligned, entailAlign, entailAlign]"
A group of African children are dressed in colorful clothes.,The group of children wearing colorful clothes are heading to school.,"[A group of African children, A group of African children, are dressed in colorful clothes, are dressed in colorful clothes]","[are heading, The group of children, are heading to school, wearing colorful clothes]","[unaligned, entailAlign, neutralAlign, entailAlign]"
A group of African children are dressed in colorful clothes.,The group of Australian children are wearing black clothing.,"[A group of African children, A group of African children, are dressed in colorful clothes]","[are wearing black clothing, The group of Australian children, are wearing black clothing]","[unaligned, entailAlign, contradictAlign]"
A woman swims under the water.,The woman rows her boat across the water.,"[A woman, A woman, swims under the water]","[rows her boat, The woman, rows her boat across the water]","[unaligned, entailAlign, contradictAlign]"
A woman swims under the water.,A woman glides under the surface.,"[A woman, A woman, swims under the water]","[glides under the surface, A woman, glides under the surface]","[unaligned, entailAlign, entailAlign]"
A woman swims under the water.,A woman swims to the bottom of the pool.,"[A woman, A woman, swims under the water]","[swims to the bottom of the pool, A woman, swims to the bottom of the pool]","[unaligned, entailAlign, entailAlign]"
Men are gathered around a chessboard while sitting on a platform.,the chess match is entertaining,"[Men are, gathered around a chessboard, are gathered around a chessboard, while sitting on a platform]","[is entertaining, is entertaining, the chess match, is entertaining]","[unaligned, neutralAlign, entailAlign, unaligned]"
Men are gathered around a chessboard while sitting on a platform.,the men are watching people play chess,"[Men, gathered around a chessboard, Men, gathered around a chessboard, while sitting on a platform]","[people play chess, the men, the men, are watching people play chess, the men]","[unaligned, unaligned, entailAlign, entailAlign, unaligned]"
Men are gathered around a chessboard while sitting on a platform.,the men are playing checkers.,"[Men are, gathered around a chessboard, are gathered around a chessboard, while sitting on a platform]","[are playing checkers, the men, are playing checkers, the men]","[unaligned, unaligned, contradictAlign, unaligned]"
A gaggle of youths sitting atop a cement structure.,Youths cried alot near cement structure.,"[A gaggle of youths, A gaggle of youths, sitting atop a cement structure]","[near cement structure, Youths, cried alot near cement structure]","[unaligned, entailAlign, contradictAlign]"
A gaggle of youths sitting atop a cement structure.,A gaggle of youths spent their past time on a cement structure.,"[A gaggle of youths, A gaggle of youths, sitting atop a cement structure]","[spent their past time, A gaggle of youths, spent their past time on a cement structure]","[unaligned, entailAlign, entailAlign]"
A gaggle of youths sitting atop a cement structure.,youths hidden themselves atop a cement structure.,"[A gaggle of youths, A gaggle of youths, sitting atop a cement structure]","[atop a cement structure, youths, hidden themselves atop a cement structure]","[unaligned, entailAlign, neutralAlign]"
A group of people in purple shirts and tan pants all walking in the same direction.,A group of people are headed to the entrance.,"[A group of people, A group of people, in purple shirts and tan pants, walking in the same direction]","[to the entrance, A group of people, to the entrance, are headed to the entrance]","[unaligned, entailAlign, unaligned, neutralAlign]"
A group of people in purple shirts and tan pants all walking in the same direction.,A group of people disperse.,"[A group of people, A group of people, in purple shirts and tan pants all, all walking in the same direction]","[disperse, A group of people, disperse, disperse]","[unaligned, entailAlign, unaligned, contradictAlign]"
A group of people in purple shirts and tan pants all walking in the same direction.,People are all walking in the same direction.,"[A group of people, A group of people, in purple shirts and tan pants all, all walking in the same direction]","[walking in the same direction, People, walking in the same direction, are all walking in the same direction]","[unaligned, entailAlign, unaligned, entailAlign]"
A skier flies through the air while doing a trick.,A man on a skilift going up a mountain,"[A skier, A skier, flies through the air, flies through the air, while doing a trick]","[on a skilift, A man, on a skilift, going up a mountain, on a skilift]","[unaligned, neutralAlign, unaligned, contradictAlign, contradictAlign]"
A skier flies through the air while doing a trick.,A skier doing some tricks,"[A skier, A skier, flies through the air, while doing a trick]","[doing some tricks, A skier, doing some tricks, doing some tricks]","[unaligned, entailAlign, neutralAlign, entailAlign]"
A skier flies through the air while doing a trick.,A skier soaring through the air after doing a stunt,"[A skier, A skier, flies through the air, flies through the air, while doing a trick]","[soaring through the air, A skier, after doing a stunt, soaring through the air, after doing a stunt]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
"Two soccer teams getting ready for penalties after a goaless draw in a match in london, england.","A couple of soccer teams getting ready for penalties after a nil nil draw in a match in london, england.","[Two soccer teams, Two soccer teams, getting ready, getting ready, for penalties, for penalties, after a goaless draw, after a goaless draw, in a match, in a match, in london, in london, england]","[in london, A couple of soccer teams, in a match, getting ready, after a nil nil draw, for penalties, in london, after a nil nil draw, in london, in a match, england, in london, england]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign, entailAlign, entailAlign]"
"Two soccer teams getting ready for penalties after a goaless draw in a match in london, england.",Two baseball teams fight each other.,"[Two soccer teams, Two soccer teams, getting ready for penalties, after a goaless draw, in a match, in london, england]","[fight each other, Two baseball teams, fight each other, fight each other, fight each other, fight each other]","[unaligned, contradictAlign, neutralAlign, unaligned, unaligned, unaligned]"
"Two soccer teams getting ready for penalties after a goaless draw in a match in london, england.",Two soccer teams play a scoreless match.,"[Two soccer teams, Two soccer teams, getting ready for penalties, after a goaless draw in a match, in london, england]","[play a scoreless match, Two soccer teams, play a scoreless match, play a scoreless match, play a scoreless match]","[unaligned, entailAlign, unaligned, entailAlign, unaligned]"
three dogs run across the track.,The dogs are laying down in a field.,"[three dogs, three dogs, run across the track]","[are laying down, The dogs, are laying down in a field]","[unaligned, entailAlign, contradictAlign]"
three dogs run across the track.,The dogs are moving fast.,"[three dogs, three dogs, run across the track]","[are moving fast, The dogs, are moving fast]","[unaligned, entailAlign, entailAlign]"
three dogs run across the track.,The dogs are at school track meet.,"[three dogs, three dogs, run across the track]","[are at school track meet, The dogs, are at school track meet]","[unaligned, entailAlign, neutralAlign]"
People are sweeping a sidewalk.,A group of people sweep the sidewalk.,"[People, People, sweeping a sidewalk, are sweeping a sidewalk]","[sweep the sidewalk, A group of people, A group of people, sweep the sidewalk]","[unaligned, entailAlign, unaligned, entailAlign]"
People are sweeping a sidewalk.,People are at a rock concert.,"[People are, People, are sweeping a sidewalk]","[at a rock concert, People, are at a rock concert]","[unaligned, entailAlign, contradictAlign]"
People are sweeping a sidewalk.,A group of volunteers perform community service.,"[People, sweeping a sidewalk, are sweeping a sidewalk]","[A group of volunteers, A group of volunteers, perform community service]","[neutralAlign, unaligned, neutralAlign]"
A white dog is running through the snow.,a black dog is in the snow.,"[A white dog, A white dog, is running through the snow]","[is in the snow, a black dog, is in the snow]","[unaligned, contradictAlign, entailAlign]"
A white dog is running through the snow.,a dog is outside.,"[A white dog, A white dog, is running through the snow]","[is outside, a dog, is outside]","[unaligned, entailAlign, entailAlign]"
A white dog is running through the snow.,the sled dog is white.,"[A white dog, A white dog, is running through the snow, is running through the snow, A white dog]","[is white, the sled dog, is white, the sled dog, is white]","[unaligned, neutralAlign, neutralAlign, neutralAlign, entailAlign]"
These young people are relaxing on the grass.,These young people are having a picnic,"[These young people, These young people, are relaxing, on the grass]","[are having a picnic, These young people, are having a picnic, are having a picnic]","[unaligned, entailAlign, neutralAlign, neutralAlign]"
These young people are relaxing on the grass.,These young people are really old.,"[These young people, These young people, are relaxing, on the grass]","[are really old, These young people, are really old, are really old]","[contradictAlign, entailAlign, neutralAlign, unaligned]"
These young people are relaxing on the grass.,These young people are outside.,"[These young people, These young people, are relaxing, on the grass]","[are outside, These young people, are outside, are outside]","[unaligned, entailAlign, neutralAlign, entailAlign]"
Man jogging on a city street.,A woman is jogging.,"[Man, jogging, on a city street]","[A woman, is jogging, A woman]","[neutralAlign, entailAlign, unaligned]"
Man jogging on a city street.,A man is jogging to lose weight.,"[Man jogging, jogging, on a city street]","[to lose weight, is jogging, to lose weight]","[unaligned, entailAlign, neutralAlign]"
Man jogging on a city street.,A man is jogging.,"[jogging, Man, on a city street]","[is jogging, A man, A man]","[entailAlign, entailAlign, unaligned]"
There are many posters within this part of town that are in another language.,The posters are in written in English.,"[many posters, many posters, within this part of town, that are in another language]","[written in English, The posters, written in English, written in English]","[unaligned, entailAlign, unaligned, contradictAlign]"
There are many posters within this part of town that are in another language.,There are many foreign posters in town.,"[many posters, many posters within this part of town that are in another language, are in another language, within this part of town]","[in town, many foreign posters, foreign, in town]","[unaligned, entailAlign, entailAlign, entailAlign]"
There are many posters within this part of town that are in another language.,There are many people in this town that do not speak English.,"[many posters, many posters, within this part of town, within this part of town, that are in another language]","[in this town, many people, that do not, in this town, that do not speak English]","[unaligned, neutralAlign, unaligned, entailAlign, entailAlign]"
Two young children wearing winter coats and hats are playing in the melting snow.,two young children wearing coats and hats playing in molten snow,"[Two young children, Two young children, wearing winter coats and hats, are playing in the melting snow]","[and hats, two young children, wearing coats and hats, playing in molten snow]","[unaligned, entailAlign, entailAlign, entailAlign]"
Two young children wearing winter coats and hats are playing in the melting snow.,two children playing video games indoors,"[Two young children, Two young children, wearing winter coats and hats, are playing in the melting snow]","[playing video games indoors, two children, playing video games indoors, playing video games indoors]","[unaligned, entailAlign, unaligned, contradictAlign]"
Two young children wearing winter coats and hats are playing in the melting snow.,two young children dressed for the weather playing outside,"[Two young children, Two young children, wearing winter coats and hats, wearing winter coats and hats, are playing in the melting snow]","[playing outside, two young children, playing outside, dressed for the weather, playing outside]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
a kid with a red shirt playing basketball,Someone is playing sports.,"[a kid, a kid, with a red shirt, playing basketball]","[playing sports, Someone, Someone is, playing sports]","[unaligned, entailAlign, unaligned, entailAlign]"
a kid with a red shirt playing basketball,a child plays with a ball,"[a kid, a kid, playing basketball]","[plays with a ball, a child, plays with a ball]","[unaligned, entailAlign, entailAlign]"
a kid with a red shirt playing basketball,A kid has a red shirt.,"[a kid, a kid, with a red shirt]","[has a red shirt, A kid, has a red shirt]","[unaligned, entailAlign, entailAlign]"
A line of people hold candles and signs to promote saving trees.,People underwater.,"[A line of people, hold candles and signs]","[People, underwater]","[entailAlign, entailAlign]"
A line of people hold candles and signs to promote saving trees.,People in clothes.,"[hold candles and signs, to promote saving trees, A line of people]","[in clothes, in clothes, People]","[neutralAlign, unaligned, entailAlign]"
A line of people hold candles and signs to promote saving trees.,People outside.,"[A line of people, hold candles and signs]","[People, outside]","[entailAlign, neutralAlign]"
A dog on a log looks at a splash in the water as another dog looks on.,Some puppies spend time together on the river bank.,"[A dog, A dog, on a log, looks at a splash, looks at a splash, in the water, another dog, another dog looks on]","[on the river bank, Some puppies, Some puppies, on the river bank, spend time together, Some puppies, Some puppies, on the river bank]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign, unaligned, entailAlign, unaligned]"
A dog on a log looks at a splash in the water as another dog looks on.,A cat falls in the river while another cat watches.,"[A dog, A dog, on a log, looks at a splash, in the water, in the water, as another dog looks on]","[falls in the river, A cat, falls in the river, falls in the river, watches, falls in the river, while another cat watches]","[unaligned, neutralAlign, neutralAlign, neutralAlign, unaligned, neutralAlign, neutralAlign]"
A dog on a log looks at a splash in the water as another dog looks on.,Two dogs are together near the water.,"[A dog, another dog, looks at a splash in the water, looks at a splash, in the water, as another dog looks on]","[are together, Two dogs, near the water, are together, are together, are together]","[unaligned, entailAlign, entailAlign, unaligned, unaligned, entailAlign]"
boy in class looking bored thrown on his desk.,A teacher looks at a troublemaker,"[boy in class, boy, looking bored, thrown on his desk]","[looks at a troublemaker, A teacher, looks at a troublemaker, A teacher]","[unaligned, neutralAlign, neutralAlign, unaligned]"
boy in class looking bored thrown on his desk.,A boy has his head down,"[boy in class, boy, looking bored, thrown on his desk]","[has his head down, A boy, has his head down, has his head down]","[unaligned, entailAlign, unaligned, entailAlign]"
boy in class looking bored thrown on his desk.,The boy raises his hand.,"[boy in class, boy, looking bored, thrown on his desk]","[raises his hand, The boy, The boy, raises his hand]","[unaligned, entailAlign, unaligned, contradictAlign]"
A group of Asians standing in a room while one of them lies on the desk.,Russians are doing jumping jacks.,"[A group of Asians, standing in a room, A group of Asians, while one of them lies on the desk, standing in a room]","[are doing jumping jacks, Russians are, Russians, are doing jumping jacks, are doing jumping jacks]","[unaligned, unaligned, neutralAlign, unaligned, neutralAlign]"
A group of Asians standing in a room while one of them lies on the desk.,Dudes are standing around a guy laying down.,"[A group of Asians, A group of Asians, standing in a room, standing in a room, while one of them lies on the desk]","[laying down, Dudes, laying down, are standing around a guy, laying down]","[unaligned, entailAlign, unaligned, neutralAlign, neutralAlign]"
A group of Asians standing in a room while one of them lies on the desk.,Asians are upright in a room except for one laying on a desk.,"[A group of Asians, A group of Asians, standing in a room, standing in a room, while one of them lies on the desk, while one of them lies on the desk]","[laying on a desk, Asians, except for one laying on a desk, are upright in a room, in a room, except for one laying on a desk]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
A woman speaking in front of a powerpoint display for Michael's Portfolio.,The woman is asleep.,"[A woman, A woman, speaking in front of a powerpoint display, for Michael's Portfolio]","[is asleep, The woman, is asleep, is asleep]","[unaligned, entailAlign, contradictAlign, unaligned]"
A woman speaking in front of a powerpoint display for Michael's Portfolio.,The woman is thinking about the beach.,"[A woman, A woman, speaking in front of a powerpoint display, for Michael's Portfolio]","[is thinking, The woman, is thinking about the beach, is thinking about the beach]","[unaligned, entailAlign, neutralAlign, unaligned]"
A woman speaking in front of a powerpoint display for Michael's Portfolio.,A woman is speaking.,"[A woman, A woman, speaking in front of a powerpoint display, for Michael's Portfolio]","[is speaking, A woman, is speaking, is speaking]","[unaligned, entailAlign, entailAlign, unaligned]"
The skateboarder in a white t-shirt and blue cap sits on his board and coasts down the gentle grade.,A skateboarder is sitting on his board.,"[The skateboarder, The skateboarder, in a white t-shirt and blue cap, sits on his board, and coasts down the gentle grade]","[is sitting, A skateboarder, on his board, is sitting on his board, is sitting]","[unaligned, entailAlign, unaligned, entailAlign, unaligned]"
The skateboarder in a white t-shirt and blue cap sits on his board and coasts down the gentle grade.,A skateboarder is ridiing his board down the street.,"[The skateboarder, The skateboarder, in a white t-shirt and blue cap, sits on his board, coasts down, down the gentle grade]","[is ridiing his board, A skateboarder, is ridiing his board, is ridiing his board, is ridiing his board, down the street]","[unaligned, entailAlign, unaligned, neutralAlign, entailAlign, neutralAlign]"
The skateboarder in a white t-shirt and blue cap sits on his board and coasts down the gentle grade.,A boy on a surf board is in the ocean.,"[The skateboarder, in a white t-shirt and blue cap, sits on his board, sits on his board, coasts down the gentle grade]","[A boy on a surf board, is in the ocean, is in the ocean, on a surf board, is in the ocean]","[entailAlign, unaligned, neutralAlign, entailAlign, contradictAlign]"
Several children lined up at and looking through a fence.,Nobody is in line.,"[Several children, lined up, looking through a fence]","[Nobody, is in line, Nobody]","[contradictAlign, entailAlign, unaligned]"
Several children lined up at and looking through a fence.,People looking at a ghost,"[Several children, Several children, lined up, looking through a fence]","[at a ghost, People, looking at a ghost, looking at a ghost]","[unaligned, entailAlign, neutralAlign, neutralAlign]"
Several children lined up at and looking through a fence.,The children looked through the fence.,"[Several children, Several children, lined up, looking through a fence]","[looked through the fence, The children, looked through the fence, looked through the fence]","[unaligned, entailAlign, unaligned, entailAlign]"
A dog runs in a yard with a deflated ball in its mouth.,The dog broke the ball,"[A dog, A dog, runs in a yard, with a deflated ball in its mouth]","[broke the ball, The dog, broke the ball, broke the ball]","[unaligned, entailAlign, neutralAlign, neutralAlign]"
A dog runs in a yard with a deflated ball in its mouth.,The dog is running,"[A dog, A dog, runs in a yard, with a deflated ball in its mouth]","[is running, The dog, is running, is running]","[unaligned, entailAlign, entailAlign, unaligned]"
A dog runs in a yard with a deflated ball in its mouth.,The dog has a rabbit in his mouth,"[A dog, A dog, runs in a yard, with a deflated ball in its mouth]","[in his mouth, The dog, has a rabbit, has a rabbit in his mouth]","[unaligned, entailAlign, neutralAlign, contradictAlign]"
People dine outdoors at a lodge on a snowy mountain.,People are eating dinner at a school cafeteria.,"[People dine outdoors, dine, outdoors at a lodge on a snowy mountain]","[at a school cafeteria, eating dinner, at a school cafeteria]","[unaligned, neutralAlign, unaligned]"
People dine outdoors at a lodge on a snowy mountain.,People are eating and relaxing after a long day.,"[People dine outdoors, People, dine outdoors, at a lodge, on a snowy mountain]","[after a long day, People, are eating and relaxing, eating and relaxing, after a long day]","[unaligned, entailAlign, neutralAlign, unaligned, unaligned]"
People dine outdoors at a lodge on a snowy mountain.,People are eating food at a mountain lodge.,"[People dine outdoors, dine outdoors, People, at a lodge on a snowy mountain]","[at a mountain lodge, are eating food, People, at a mountain lodge]","[unaligned, entailAlign, entailAlign, entailAlign]"
A line of construction workers walk along a train track under an overpass.,The train is not coming.,"[A line of construction workers, walk along a train track, under an overpass]","[The train, is not coming, is not coming]","[neutralAlign, neutralAlign, unaligned]"
A line of construction workers walk along a train track under an overpass.,The workers are trapped underwater.,"[A line of construction workers, A line of construction workers, walk along a train track, under an overpass]","[are trapped underwater, The workers, are trapped underwater, are trapped underwater]","[unaligned, entailAlign, contradictAlign, unaligned]"
A line of construction workers walk along a train track under an overpass.,The workers are outside by the tracks.,"[A line of construction workers, A line of construction workers, walk along a train track, under an overpass]","[are outside, The workers, are outside by the tracks, are outside by the tracks]","[unaligned, entailAlign, entailAlign, unaligned]"
A black and white spotted dog jumps over a stream.,The dog jumps over some water.,"[A black and white spotted dog, A black and white spotted dog, jumps over a stream, jumps over a stream]","[jumps over some water, The dog, The dog, jumps over some water]","[unaligned, entailAlign, unaligned, entailAlign]"
A black and white spotted dog jumps over a stream.,The cat jumps over the stream.,"[A black and white spotted dog, A black and white spotted dog, jumps over a stream, jumps over a stream]","[jumps over the stream, The cat, The cat, jumps over the stream]","[unaligned, contradictAlign, unaligned, entailAlign]"
A black and white spotted dog jumps over a stream.,The dog jumps over a stream filled with fish.,"[A black and white spotted dog, A black and white spotted dog, jumps over a stream, jumps over a stream, jumps over a stream]","[jumps over a stream, The dog, filled with fish, jumps over a stream filled with fish, jumps over a stream]","[unaligned, unaligned, unaligned, neutralAlign, entailAlign]"
A boy jumping down a wet inflatable slide.,A boy jumps down a slide.,"[A boy, A boy, jumping down a wet inflatable slide]","[jumps down a slide, A boy, jumps down a slide]","[unaligned, entailAlign, entailAlign]"
A boy jumping down a wet inflatable slide.,A woman slides nude.,"[A boy, A boy, jumping down a wet inflatable slide]","[slides nude, A woman, slides nude]","[unaligned, neutralAlign, neutralAlign]"
A boy jumping down a wet inflatable slide.,The boy smacks his face off the ground when hitting the slide.,"[A boy, A boy, jumping down a wet inflatable slide, a wet inflatable slide]","[smacks his face, The boy, smacks his face off the ground, when hitting the slide]","[unaligned, entailAlign, neutralAlign, entailAlign]"
"A soccer team, all in blue uniform, are celebrating a victorious match together.",A soccer team celebrates a championship victory with pizza.,"[A soccer team, A soccer team, all in blue uniform, are celebrating a victorious match together, are celebrating a victorious match together]","[celebrates a championship victory, A soccer team, celebrates a championship victory, with pizza, celebrates a championship victory]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign]"
"A soccer team, all in blue uniform, are celebrating a victorious match together.",A soccer team celebrates a victory.,"[A soccer team, A soccer team, all in blue uniform, are celebrating a victorious match together]","[celebrates a victory, A soccer team, celebrates a victory, celebrates a victory]","[unaligned, entailAlign, unaligned, entailAlign]"
"A soccer team, all in blue uniform, are celebrating a victorious match together.",A man cleaning his pool,"[A soccer team, all in blue uniform, are celebrating a victorious match together, A soccer team, are celebrating a victorious match together]","[cleaning his pool, cleaning his pool, A man, A man, cleaning his pool]","[unaligned, unaligned, unaligned, neutralAlign, neutralAlign]"
A woman in a pink shirt approaches a mobile coffee vendor.,She is looking to get an expresso,"[A woman, in a pink shirt, approaches a mobile coffee vendor, approaches a mobile coffee vendor]","[She, She is, She is, looking to get an expresso]","[entailAlign, unaligned, unaligned, entailAlign]"
A woman in a pink shirt approaches a mobile coffee vendor.,A woman has a coupon for a free coffee.,"[A woman, A woman, in a pink shirt, approaches a mobile coffee vendor]","[for a free coffee, A woman, has a coupon, has a coupon for a free coffee]","[unaligned, entailAlign, unaligned, neutralAlign]"
A woman in a pink shirt approaches a mobile coffee vendor.,A woman gets coffee for her office.,"[A woman, A woman, in a pink shirt, approaches a mobile coffee vendor, approaches a mobile coffee vendor]","[gets coffee, A woman, for her office, for her office, gets coffee]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign]"
Asian people are riding bike and holding up banners in a parade.,the peoples are driving the bike on the road,"[Asian people, Asian people, are riding bike, are riding bike, and holding up banners, in a parade, in a parade]","[are driving the bike, the peoples, on the road, are driving the bike, the peoples, the peoples, on the road]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, neutralAlign]"
Asian people are riding bike and holding up banners in a parade.,the peoples are riding bike,"[Asian people, are riding bike, are riding bike, and holding up banners, in a parade]","[are riding bike, the peoples, are riding bike, the peoples, the peoples]","[unaligned, unaligned, entailAlign, unaligned, unaligned]"
