premise,hypothesis,source,target,labels
"Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.",Edward no longer requires his financial support.,"['Mr', ""Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward""]","['Edward no longer requires his financial support.', 'Edward no longer requires his financial support.']","['entailAlign', 'unaligned']"

He was very annoyed. John was doing research in the library when he heard a man humming and whistling.,The man was very annoyed.,"['John was doing research in the library when he heard a man humming and whistling', 'He was very annoyed.']","['The man was very annoyed.', 'The man was very annoyed.']","['entailAlign', 'unaligned']"

"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",Even one thread uncut will leave the slip too small.,"['It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size', 'The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.']","['Even one thread uncut will leave the slip too small.', 'Even one thread uncut will leave the slip too small.']","['entailAlign', 'unaligned']"

"The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small. It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size.",Even one thread uncut will leave the scissors too small.,"['It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size', 'The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.']","['Even one thread uncut will leave the scissors too small.', 'Even one thread uncut will leave the scissors too small.']","['entailAlign', 'unaligned']"

"They were very cooperative, so the interview lasted for a long time. The journalists interviewed the stars of the new movie.","The stars were very cooperative, so the interview lasted for a long time.","['The journalists interviewed the stars of the new movie', 'They were very cooperative, so the interview lasted for a long time.']","['The stars were very cooperative, so the interview lasted for a long time.', 'The stars were very cooperative, so the interview lasted for a long time.']","['entailAlign', 'unaligned']"

Anne gave birth to a daughter last month. She is a very charming woman.,Anne's daughter is a very charming woman.,"['Anne gave birth to a daughter last month', 'She is a very charming woman.']","[""Anne's daughter is a very charming woman."", ""Anne's daughter is a very charming woman.""]","['entailAlign', 'unaligned']"

Of one thing Mark was sure. Harry knew much less than he did.,Harry knew much less than Harry did.,"['Of one thing Mark was sure', 'Harry knew much less than he did.']","['Harry knew much less than Harry did.', 'Harry knew much less than Harry did.']","['entailAlign', 'unaligned']"

At that date he had been dead for five years. Thomson visited Cooper's grave in 1765.,Thomson had been dead for five years.,"[""Thomson visited Cooper's grave in 1765"", 'At that date he had been dead for five years.']","['Thomson had been dead for five years.', 'Thomson had been dead for five years.']","['entailAlign', 'unaligned']"

"He should have been more skeptical. Mark told Pete many lies about himself, which Pete included in his book.",Mark should have been more skeptical.,"['Mark told Pete many lies about himself, which Pete included in his book', 'He should have been more skeptical.']","['Mark should have been more skeptical.', 'Mark should have been more skeptical.']","['entailAlign', 'unaligned']"

"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.","The meeting was delayed, so it worked out.","[""My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time"", 'Luckily, it was delayed, so it worked out.']","['The meeting was delayed, so it worked out.', 'The meeting was delayed, so it worked out.']","['entailAlign', 'unaligned']"

They have gotten very nervous. The foxes are getting in at night and attacking the chickens.,The foxes have gotten very nervous.,"['The foxes are getting in at night and attacking the chickens', 'They have gotten very nervous.']","['The foxes have gotten very nervous.', 'The foxes have gotten very nervous.']","['entailAlign', 'unaligned']"

I put the cake away in the refrigerator. It has a lot of leftovers in it.,The refrigerator has a lot of leftovers in it.,"['I put the cake away in the refrigerator', 'It has a lot of leftovers in it.']","['The refrigerator has a lot of leftovers in it.', 'The refrigerator has a lot of leftovers in it.']","['entailAlign', 'unaligned']"

The fish ate the worm. It was tasty.,The worm was tasty.,"['The fish ate the worm', 'It was tasty.']","['The worm was tasty.', 'The worm was tasty.']","['entailAlign', 'unaligned']"

"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Geoffrey to steal nuclear material from an army vault.,"['Lionel is holding captive a scientist, Dr', 'Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.']","['Lionel plans to use it on Geoffrey and send Geoffrey to steal nuclear material from an army vault.', 'Lionel plans to use it on Geoffrey and send Geoffrey to steal nuclear material from an army vault.']","['entailAlign', 'unaligned']"

"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",The government official was less than 21 when he filed for a homestead claim.,"['Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest', 'Still, anyone who knew that he was 19 years old could take his claim away from him.']","['The government official was less than 21 when he filed for a homestead claim.', 'The government official was less than 21 when he filed for a homestead claim.']","['entailAlign', 'unaligned']"

Gently she stroked her hair and let the child weep. Mama came over and sat down beside Alice.,Alice stroked her hair and let the child weep.,"['Mama came over and sat down beside Alice', 'Gently she stroked her hair and let the child weep.']","['Alice stroked her hair and let the child weep.', 'Alice stroked her hair and let the child weep.']","['entailAlign', 'unaligned']"

"Since she always has good luck, Alice spotted her quickly. Alice looked for her friend Jade in the crowd.","Since Jade always has good luck, Alice spotted her quickly.","['Alice looked for her friend Jade in the crowd', 'Since she always has good luck, Alice spotted her quickly.']","['Since Jade always has good luck, Alice spotted her quickly.', 'Since Jade always has good luck, Alice spotted her quickly.']","['entailAlign', 'unaligned']"

"Next time, we should make more of them. Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies.",We should make more of the chocolate chip cookies.,"['Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies', 'Next time, we should make more of them.']","['We should make more of the chocolate chip cookies.', 'We should make more of the chocolate chip cookies.']","['entailAlign', 'unaligned']"

Singer's heels Mark was close to Mr.,He heard Mr. Singer calling for the captain.,"['Mark was close to Mr', ""Singer's heels""]","['He heard Mr. Singer calling for the captain.', 'He heard Mr. Singer calling for the captain.']","['entailAlign', 'unaligned']"

He was very impressive. John was jogging through the park when he saw a man juggling watermelons.,The juggler was very impressive.,"['John was jogging through the park when he saw a man juggling watermelons', 'He was very impressive.']","['The juggler was very impressive.', 'The juggler was very impressive.']","['entailAlign', 'unaligned']"

"They were very much in the majority. When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.",The opponents were very much in the majority.,"['When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents', 'They were very much in the majority.']","['The opponents were very much in the majority.', 'The opponents were very much in the majority.']","['entailAlign', 'unaligned']"

"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack the beans in his barn where they would dry.,"['Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry', 'Later, he and Tatyana would shell them and cook them for their Sunday dinners.']","['His friend Henry let him stack the beans in his barn where they would dry.', 'His friend Henry let him stack the beans in his barn where they would dry.']","['entailAlign', 'unaligned']"

"She was out. Jane knocked on Susan's door, but there was no answer.",Jane was out.,"[""Jane knocked on Susan's door, but there was no answer"", 'She was out.']","['Jane was out.', 'Jane was out.']","['entailAlign', 'unaligned']"

"She invited her to come in. Jane knocked on the door, and Susan answered it.",Jane invited her to come in.,"['Jane knocked on the door, and Susan answered it', 'She invited her to come in.']","['Jane invited her to come in.', 'Jane invited her to come in.']","['entailAlign', 'unaligned']"

"Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.","His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry's father into a drug runner.","['Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project', ""Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.""]","[""His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry's father into a drug runner."", ""His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry's father into a drug runner.""]","['entailAlign', 'unaligned']"

"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.",He lowered his hands when the wind stopped.,"['Fred covered his eyes with his hands, because the wind was blowing sand around', 'He lowered them when the wind stopped.']","['He lowered his hands when the wind stopped.', 'He lowered his hands when the wind stopped.']","['entailAlign', 'unaligned']"

Crowley like a prince until he made his will in their favor; then they treated him like dirt The Wainwrights treated Mr.,Folks said he died just to be ride of the folks' everlasting nagging.,"['The Wainwrights treated Mr', 'Crowley like a prince until he made his will in their favor; then they treated him like dirt']","[""Folks said he died just to be ride of the folks' everlasting nagging."", ""Folks said he died just to be ride of the folks' everlasting nagging.""]","['entailAlign', 'unaligned']"

There is a gap in the wall. You can see the garden through it.,You can see the garden through the wall.,"['There is a gap in the wall', 'You can see the garden through it.']","['You can see the garden through the wall.', 'You can see the garden through the wall.']","['entailAlign', 'unaligned']"

"They hunted for deer on the river banks. Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",Archaeologists hunted for deer on the river banks.,"['Archaeologists have concluded that humans lived in Laputa 20,000 years ago', 'They hunted for deer on the river banks.']","['Archaeologists hunted for deer on the river banks.', 'Archaeologists hunted for deer on the river banks.']","['entailAlign', 'unaligned']"

"He subtracted that amount from the man's wages, and made out his check Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty.",The man subtracted that amount from the man's wages.,"[""Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty"", ""He subtracted that amount from the man's wages, and made out his check""]","[""The man subtracted that amount from the man's wages."", ""The man subtracted that amount from the man's wages.""]","['entailAlign', 'unaligned']"

The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.,The teller was immediately taken to the hospital.,"['The customer walked into the bank and stabbed one of the tellers', 'He was immediately taken to the hospital.']","['The teller was immediately taken to the hospital.', 'The teller was immediately taken to the hospital.']","['entailAlign', 'unaligned']"

"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.","When Fred first saw my father, My father was twelve months old.","['Fred is the only man alive who still remembers my father as an infant', 'When Fred first saw my father, he was twelve months old.']","['When Fred first saw my father, My father was twelve months old.', 'When Fred first saw my father, My father was twelve months old.']","['entailAlign', 'unaligned']"

"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.",Bob would have lost.,"['Bob was playing cards with Adam and was way ahead', ""If Adam hadn't had a sudden run of good luck, he would have lost.""]","['Bob would have lost.', 'Bob would have lost.']","['entailAlign', 'unaligned']"

Dan had to stop Bill from toying with the injured bird. He is very cruel.,Dan is very cruel.,"['Dan had to stop Bill from toying with the injured bird', 'He is very cruel.']","['Dan is very cruel.', 'Dan is very cruel.']","['entailAlign', 'unaligned']"

"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.",The coffee got full of coffee.,"[""I couldn't find a spoon, so I tried using a pen to stir my coffee"", 'But that turned out to be a bad idea, because it got full of coffee.']","['The coffee got full of coffee.', 'The coffee got full of coffee.']","['entailAlign', 'unaligned']"

"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.",Archaeologists hunted for evidence on the river banks.,"['Archaeologists have concluded that humans lived in Laputa 20,000 years ago', 'They hunted for evidence on the river banks.']","['Archaeologists hunted for evidence on the river banks.', 'Archaeologists hunted for evidence on the river banks.']","['entailAlign', 'unaligned']"

They have gotten very nervous. The foxes are getting in at night and attacking the chickens.,The chickens have gotten very nervous.,"['The foxes are getting in at night and attacking the chickens', 'They have gotten very nervous.']","['The chickens have gotten very nervous.', 'The chickens have gotten very nervous.']","['entailAlign', 'unaligned']"

"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.",Kamchatka was defeated within weeks.,"['In July, Kamtchatka declared war on Yakutsk', ""Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.""]","['Kamchatka was defeated within weeks.', 'Kamchatka was defeated within weeks.']","['entailAlign', 'unaligned']"

He is very compassionate. Dan had to stop Bill from toying with the injured bird.,Dan is very compassionate.,"['Dan had to stop Bill from toying with the injured bird', 'He is very compassionate.']","['Dan is very compassionate.', 'Dan is very compassionate.']","['entailAlign', 'unaligned']"

"If Bob had left home for work on time, he would be gone by this time. Adam can't leave work here until Bob arrives to replace him.",Adam would be gone by this time.,"[""Adam can't leave work here until Bob arrives to replace him"", 'If Bob had left home for work on time, he would be gone by this time.']","['Adam would be gone by this time.', 'Adam would be gone by this time.']","['entailAlign', 'unaligned']"

