premise,hypothesis,chunks1,chunks2,labels
A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,"[A cowgirl, is riding a horse, and corners a barrel]","[is near a red barrel, is near a red barrel, is near a red barrel]","[unaligned, unaligned, unaligned]"
A boy is standing in the cold water,A boy is standing in the water,"[A boy, A boy, is standing, is standing, in the cold water]","[is standing, A boy, in the water, is standing, in the water]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
The boy is sitting near the blue ocean,The boy is wading through the blue ocean,"[The boy, The boy, is sitting, near the blue ocean, near the blue ocean]","[is wading, The boy, through the blue ocean, is wading, through the blue ocean]","[unaligned, entailAlign, unaligned, unaligned, entailAlign]"
A boy is standing in the water,The kid is swimming through the blue ocean,"[A boy, A boy, is standing, in the water, in the water]","[is swimming, The kid, through the blue ocean, is swimming, through the blue ocean]","[unaligned, neutralAlign, unaligned, unaligned, entailAlign]"
The boy is wading through the blue ocean,A boy is standing in the cold water,"[The boy, The boy, is wading, through the blue ocean, through the blue ocean]","[is standing, A boy, in the cold water, is standing, in the cold water]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign]"
A man is playing a guitar on stage,There is no man playing a guitar on stage,"[A man, is playing a guitar, is playing a guitar, on stage, on stage]","[There is, on stage, playing a guitar, There is, on stage]","[unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,"[A man, A man, is playing a guitar, on stage]","[and flyaway hair, A guitarist, and flyaway hair, and flyaway hair]","[unaligned, neutralAlign, unaligned, unaligned]"
A man is playing a guitar on stage,A bald person is playing a guitar,"[A man, A man, is playing a guitar]","[is playing a guitar, A bald person, is playing a guitar]","[unaligned, entailAlign, entailAlign]"
There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,"[There is, There is, no man, playing a guitar, playing a guitar, on stage]","[and flyaway hair, and is, and flyaway hair, and flyaway hair, playing a guitar, and flyaway hair]","[unaligned, neutralAlign, unaligned, unaligned, entailAlign, unaligned]"
Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,"[Several children, Several children, are sitting down, are sitting down, and have, and have]","[and are, Several children, and are, are lying down, raising their knees, and are]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
Two young girls are sitting on the ground,Two girls are sitting on the ground,"[Two young girls, Two young girls, are sitting, are sitting, on the ground]","[are sitting, Two girls, on the ground, are sitting, on the ground]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
Two girls are lying on the ground,Several children are sitting down and have their knees raised,"[Two girls, Two girls, are lying, on the ground]","[are sitting down, Several children, and have, and have]","[unaligned, neutralAlign, unaligned, unaligned]"
A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,"[A nude lady, is walking, in front of a crowd, in front of a crowd, in body paint, in body paint]","[There is, in front of a crowd, There is, in front of a crowd, There is, walking in body paint]","[unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,"[A nude lady, A nude lady, is walking, is walking, in front of a crowd, in front of a crowd, in body paint]","[in body paint, A nude crowd, in body paint, is walking, in body paint, in front of a lady, in body paint]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
"A young, topless woman is covered in paint",A topless girl is covered in paint,"[A young, topless woman, topless woman, is covered, is covered, in paint]","[is covered, is covered, A topless girl, in paint, is covered, in paint]","[unaligned, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,"[A nude lady, A nude lady, is walking, is walking, in front of a crowd, in body paint]","[is covered, A topless girl, in paint, is covered, in paint, in paint]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, entailAlign]"
A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint","[A nude crowd, in body paint, in body paint, is walking, is walking, in front of a lady]","[is covered, is covered, in paint, topless woman, is covered, topless woman]","[unaligned, unaligned, entailAlign, unaligned, neutralAlign, unaligned]"
A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint","[A nude lady, is walking, is walking, in front of a crowd, in body paint, in body paint]","[is covered, topless woman, is covered, topless woman, topless woman, in paint]","[unaligned, unaligned, neutralAlign, unaligned, unaligned, entailAlign]"
A group of people is near the ocean,A crowd of people is near the water,"[A group of people, A group of people, is near the ocean]","[is near the water, A crowd of people, is near the water]","[unaligned, entailAlign, entailAlign]"
A crowd of people is near the water,A crowd of people is far from the water,"[A crowd of people, A crowd of people, is near the water, is near the water]","[is far, A crowd of people, is far, from the water]","[unaligned, entailAlign, unaligned, neutralAlign]"
A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,"[A group of children, A group of children, in uniforms, is standing, is standing, at a gate, at a gate, and one, and one, is kissing the mother, is kissing the mother]","[is kissing the mother, A group of children, is waiting, and one, is waiting, is kissing the mother, at a gate, is kissing the mother, and one, wearing the same clothes, is kissing the mother]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,"[A group of mothers, A group of mothers, in uniforms, in uniforms, is standing, is standing, near the children, and one, and one, is kissing the gate, is kissing the gate]","[at a gate, A group of children, is standing, in uniforms, and one, is standing, and one, is kissing the mother, and one, at a gate, is kissing the mother]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,"[A man, A man, is in a parking lot, is in a parking lot, and is, and is, playing tennis, playing tennis, against a large wall]","[is in a parking lot, A man, and is, is in a parking lot, against a friend, and is, against a friend, playing tennis, against a friend]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned]"
A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,"[A man, is in a parking lot, and is, playing tennis, against a large wall]","[There is, no man, no man, no man, There is]","[unaligned, unaligned, unaligned, unaligned, unaligned]"
A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,"[A man, A man, is in a parking lot, and is, playing tennis, against a friend]","[is pointing, A man, at a silver sedan, at a silver sedan, at a silver sedan, at a silver sedan]","[unaligned, entailAlign, unaligned, unaligned, unaligned, unaligned]"
A group of people is on a beach,A group of people is near the sea,"[A group of people, A group of people, is on a beach]","[is near the sea, A group of people, is near the sea]","[unaligned, entailAlign, neutralAlign]"
A group of people is on a beach,A group of people is on a mountain,"[A group of people, A group of people, is on a beach]","[is on a mountain, A group of people, is on a mountain]","[unaligned, entailAlign, entailAlign]"
"A man, a woman and two girls are walking on the beach",Four people are walking on the beach,"[A man, a woman, and two girls, are walking, are walking, on the beach, on the beach]","[are walking, are walking, are walking, Four people, are walking, Four people, on the beach]","[unaligned, unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A group of people is on a beach,Four people are walking on the beach,"[A group of people, A group of people, is on a beach, is on a beach]","[are walking, Four people, are walking, on the beach]","[unaligned, neutralAlign, unaligned, entailAlign]"
"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,"[A man, a woman, and two girls, are walking, on the beach]","[is on a mountain, is on a mountain, A group of people, is on a mountain, A group of people]","[unaligned, unaligned, unaligned, unaligned, unaligned]"
"A man, a woman and two girls are walking on the beach",A group of people is on a beach,"[A man, a woman, and two girls, are walking, on the beach, on the beach]","[is on a beach, is on a beach, A group of people, is on a beach, A group of people, is on a beach]","[unaligned, unaligned, unaligned, unaligned, unaligned, entailAlign]"
A schoolgirl with a black bag is on a crowded train,A girl with a black bag is on a crowded train,"[A schoolgirl, A schoolgirl, with a black bag, with a black bag, is on a crowded train]","[is on a crowded train, A girl, is on a crowded train, with a black bag, is on a crowded train]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,"[There is, no girl, with a black bag, with a black bag, on a crowded train, on a crowded train]","[is on a crowded train, is on a crowded train, is on a crowded train, with a black bag, A girl, is on a crowded train]","[unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,"[A girl, with a black bag, with a black bag, is on a crowded train]","[A cramped black train, is on the bag of a girl, A cramped black train, is on the bag of a girl]","[unaligned, unaligned, neutralAlign, unaligned]"
An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,"[An Asian woman, An Asian woman, in a crowd, in a crowd, is not, carrying a black bag]","[in a crowd, An Asian woman, is carrying a black bag, in a crowd, is carrying a black bag, is carrying a black bag]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,"[A girl, with a black bag, with a black bag, is on a crowded train]","[is not, in a crowd, carrying a black bag, is not]","[unaligned, unaligned, entailAlign, unaligned]"
A schoolgirl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,"[A schoolgirl, A schoolgirl, with a black bag, is on a crowded train]","[is carrying a black bag, An Asian woman, in a crowd, is carrying a black bag]","[unaligned, neutralAlign, unaligned, unaligned]"
A dog is chasing another and is holding a stick in its mouth,A dog is chasing another and is holding a piece of wood in its mouth,"[A dog, A dog, is chasing another, is chasing another, and is, and is, holding a stick, holding a stick, in its mouth]","[in its mouth, A dog, and is, is chasing another, in its mouth, and is, in its mouth, holding a piece of wood, in its mouth]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
Two dogs are running and carrying a toy in their mouths,Two dogs are running and carrying an object in their mouths,"[Two dogs, Two dogs, are running, are running, and carrying a toy, and carrying a toy, in their mouths]","[in their mouths, Two dogs, and carrying an object, are running, in their mouths, and carrying an object, in their mouths]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A dog is chasing another and is holding a piece of wood in its mouth,Two dogs are running and carrying an object in their mouths,"[A dog, is chasing another, and is, holding a piece of wood, in its mouth, in its mouth]","[and carrying an object, and carrying an object, and carrying an object, in their mouths, and carrying an object, in their mouths]","[unaligned, unaligned, unaligned, unaligned, unaligned, entailAlign]"
Two dogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,"[Two dogs, are running, and carrying an object, and carrying an object, in their mouths, in their mouths]","[and holding another dog, and holding another dog, in its mouth, and holding another dog, is chasing a stick, in its mouth]","[unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A dog is chasing another and is holding a stick in its mouth,Two dogs are running and carrying an object in their mouths,"[A dog, is chasing another, and is, holding a stick, in its mouth, in its mouth]","[and carrying an object, and carrying an object, and carrying an object, in their mouths, and carrying an object, in their mouths]","[unaligned, unaligned, unaligned, unaligned, unaligned, entailAlign]"
A dirty soccer ball is rolling into a goal net,A soccer ball is rolling into a goal net,"[A dirty soccer ball, A dirty soccer ball, is rolling, is rolling, into a goal net]","[into a goal net, A soccer ball, into a goal net, is rolling, into a goal net]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net,"[A soccer ball, A soccer ball, is not, is not, rolling into a goal net]","[into a goal net, A soccer ball, into a goal net, is rolling, into a goal net]","[unaligned, entailAlign, unaligned, neutralAlign, entailAlign]"
A person who plays soccer is kicking a ball into the goal,A soccer ball is rolling into a goal net,"[A person, who plays soccer, is kicking a ball, is kicking a ball, into the goal, into the goal]","[into a goal net, into a goal net, into a goal net, is rolling, A soccer ball, into a goal net]","[unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A soccer ball is rolling into a goal net,A soccer player is kicking a ball out of the goal,"[A soccer ball, A soccer ball, is rolling, is rolling, into a goal net]","[out of the goal, A soccer player, out of the goal, is kicking a ball, out of the goal]","[unaligned, entailAlign, unaligned, neutralAlign, entailAlign]"
A soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal,"[A soccer ball, A soccer ball, is rolling, is rolling, into a goal net]","[into the goal, A soccer player, into the goal, is kicking a ball, into the goal]","[unaligned, entailAlign, unaligned, neutralAlign, entailAlign]"
A man is sitting on a chair and rubbing his eyes,There is no man sitting on a chair and rubbing his eyes,"[A man, is sitting, on a chair, on a chair, and rubbing his eyes, and rubbing his eyes]","[and rubbing his eyes, and rubbing his eyes, no man, sitting on a chair, no man, and rubbing his eyes]","[unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A man with tattoos is lounging on a couch and holding a pencil,A tattooed man is on a sofa and is holding a pencil,"[A man, A man, with tattoos, is lounging, is lounging, on a couch, and holding a pencil]","[and is, A tattooed man, is on a sofa, and is, is on a sofa, and is, and is]","[unaligned, neutralAlign, unaligned, unaligned, entailAlign, unaligned, unaligned]"
A man with tattoos is lounging on a couch and holding a pencil,A man with tattoos is lounging on a couch and is looking for a pencil,"[A man, A man, with tattoos, with tattoos, is lounging, is lounging, on a couch, on a couch, and holding a pencil]","[is lounging, A man, is lounging, with tattoos, looking for a pencil, is lounging, looking for a pencil, on a couch, and is]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned]"
A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,"[A man, A man, with tattoos, with tattoos, is holding a couch, with a pencil, with a pencil]","[is lounging, A man, is lounging, with tattoos, and holding a pencil, on a couch, and holding a pencil]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, neutralAlign]"
A man is sitting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and is looking for a pencil,"[A man, A man, is sitting, is sitting, on a chair, on a chair, and rubbing his eyes]","[is lounging, A man, looking for a pencil, is lounging, and is, on a couch, looking for a pencil]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, entailAlign, unaligned]"
A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,"[A man, A man, with tattoos, is holding a couch, is holding a couch, with a pencil]","[and rubbing his eyes, A man, and rubbing his eyes, and rubbing his eyes, is sitting, and rubbing his eyes]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned]"
A man is resting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and holding a pencil,"[A man, A man, is resting, is resting, on a chair, on a chair, and rubbing his eyes]","[is lounging, A man, and holding a pencil, is lounging, and holding a pencil, on a couch, with tattoos]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, entailAlign, unaligned]"
A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,"[A man, with tattoos, is lounging, is lounging, on a couch, and holding a pencil]","[and rubbing his eyes, and rubbing his eyes, and rubbing his eyes, sitting on a chair, and rubbing his eyes, and rubbing his eyes]","[unaligned, unaligned, unaligned, neutralAlign, unaligned, unaligned]"
A man with tattoos is lounging on a couch and holding a pencil,A man is sitting on a chair and rubbing his eyes,"[A man, A man, with tattoos, is lounging, is lounging, on a couch, on a couch, and holding a pencil]","[and rubbing his eyes, A man, and rubbing his eyes, and rubbing his eyes, is sitting, and rubbing his eyes, on a chair, and rubbing his eyes]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign, unaligned]"
A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,"[A brown, and white dog, and white dog, is running, is running, through the tall grass]","[and tan dog, through the low, and tan dog, and green grass, is running, and green grass]","[unaligned, unaligned, entailAlign, unaligned, entailAlign, unaligned]"
A white and tan dog is running through the tall and green grass,A brown and white dog is running through the tall grass,"[A white, A white, and tan dog, and tan dog, is running, is running, through the tall]","[and white dog, A brown, through the tall grass, and white dog, through the tall grass, is running, through the tall grass]","[unaligned, neutralAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A man with paint covered clothes is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,"[A man, A man, with paint covered clothes, is sitting outside, is sitting outside, in a busy area, in a busy area, writing something, writing something]","[in a busy area, A man, and is, in a busy area, sitting outside, and is, in a busy area, are covered, writing something]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign, unaligned, entailAlign, unaligned, entailAlign]"
There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,"[There is, There is, no man, wearing clothes, wearing clothes, that are, that are, covered with paint, covered with paint, or is, sitting outside, sitting outside, in a busy area, in a busy area, writing something, writing something]","[in a busy area, is wearing, are covered, in a busy area, clothes that, in a busy area, and is, in a busy area, with paint, are covered, in a busy area, sitting outside, are covered, in a busy area, are covered, writing something]","[unaligned, neutralAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
A sitting man is busy writing something in an area covered by paint,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,"[A sitting man, A sitting man, is busy, writing something, writing something, in an area, in an area, covered by paint, covered by paint]","[in a busy area, sitting outside, and is, in a busy area, writing something, and is, in a busy area, and is, with paint]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign, unaligned, neutralAlign]"
A man is sitting near a bike and is writing a note,There is no man writing a note near a bike,"[A man, is sitting, near a bike, near a bike, and is, writing a note, writing a note]","[There is, no man, There is, near a bike, no man, There is, writing a note]","[unaligned, unaligned, unaligned, entailAlign, unaligned, unaligned, entailAlign]"
A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,A man is standing near a bike and is writing on a piece paper,"[A man, A man, is wearing, is wearing, clothes that, are covered, with paint, and is, and is, sitting outside, in a busy area, in a busy area, writing something]","[is standing, A man, and is, is standing, writing on a piece paper, and is, writing on a piece paper, writing on a piece paper, and is, writing on a piece paper, writing on a piece paper, near a bike, writing on a piece paper]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, unaligned, unaligned, entailAlign, unaligned, unaligned, neutralAlign, entailAlign]"
There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,"[There is, There is, no man, writing a note, writing a note, near a bike]","[in a busy area, is wearing, are covered, in a busy area, writing something, are covered]","[unaligned, neutralAlign, unaligned, unaligned, entailAlign, unaligned]"
A man is sitting near a bike and is writing a note,A man with paint covered clothes is sitting outside in a busy area writing something,"[A man, A man, is sitting, is sitting, near a bike, and is, writing a note, writing a note]","[in a busy area, A man, in a busy area, is sitting outside, with paint covered clothes, with paint covered clothes, in a busy area, writing something]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, unaligned, entailAlign]"
A group of scouts are camping in the grass,A group of scouts are hiking through the grass,"[A group of scouts, A group of scouts, are camping, are camping, in the grass]","[are hiking, A group of scouts, through the grass, are hiking, through the grass]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
Some people are walking,People are walking,"[Some people, Some people]","[walking, People are]","[unaligned, entailAlign]"
Some people are walking,A group of scouts are camping in the grass,"[Some people, Some people, are walking, are walking]","[in the grass, A group of scouts, in the grass, are camping]","[unaligned, neutralAlign, unaligned, neutralAlign]"
A group of scouts are hiking through the grass,Some people are walking,"[A group of scouts, A group of scouts, are hiking]","[are walking, Some people, are walking]","[unaligned, neutralAlign, entailAlign]"
Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,"[Two men, Two men, are taking, a break, from a trip, from a trip, on a snowy road, on a snowy road]","[are breaking, Two men, on a snowy road, on a snowy road, are breaking, during a trip, are breaking, on a snowy road]","[unaligned, entailAlign, unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
Two men with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road,"[Two men, Two men, with bikes, with bikes, are on the side of a snowy road]","[are on the side of a snowy road, Two men, are on the side of a snowy road, with cars, are on the side of a snowy road]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
Two men are holding fishing poles and fishing tackle,Two men are holding fishing poles,"[Two men, Two men, fishing poles, and fishing tackle]","[are holding fishing poles, Two men, are holding fishing poles, are holding fishing poles]","[unaligned, entailAlign, unaligned, unaligned]"
Two men are not holding fishing poles,Two men are holding fishing poles,"[Two men, Two men, are not, holding fishing poles]","[are holding fishing poles, Two men, are holding fishing poles, are holding fishing poles]","[unaligned, entailAlign, unaligned, neutralAlign]"
Two men are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,"[Two men, Two men, are holding fishing poles]","[are standing, Two men, and are]","[unaligned, entailAlign, unaligned]"
There is no man standing near the water and holding fishing poles,Two men are holding fishing poles,"[There is, no man, standing near the water, and holding fishing poles]","[are holding fishing poles, are holding fishing poles, are holding fishing poles, Two men]","[unaligned, unaligned, unaligned, unaligned]"
The helmeted girl is riding a bike,The helmeted girl is perching on a bike,"[The helmeted girl, The helmeted girl, is riding a bike, is riding a bike]","[is perching, The helmeted girl, is perching, on a bike]","[unaligned, entailAlign, unaligned, neutralAlign]"
A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,"[A woman, A woman, is performing a trick, on a ramp, with a bicycle, with a bicycle]","[is jumping, A woman, with a bicycle, is jumping, is jumping, with a bicycle]","[unaligned, entailAlign, unaligned, unaligned, unaligned, entailAlign]"
A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,"[A woman, A woman, is performing a trick, is performing a trick, on a ramp, on a ramp, with a bicycle]","[is performing a trick, A woman, on a ramp, is performing a trick, with a car, on a ramp, with a car]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
The helmeted girl is perching on a bike,A woman is performing a trick on a ramp with a car,"[The helmeted girl, is perching, on a bike, on a bike]","[on a ramp, on a ramp, A woman, with a car]","[unaligned, unaligned, unaligned, entailAlign]"
The girl with a helmet is perching on a bike,A woman is performing a trick on a ramp with a bicycle,"[The girl, The girl, with a helmet, with a helmet, is perching, on a bike, on a bike]","[is performing a trick, A woman, on a ramp, with a bicycle, on a ramp, is performing a trick, on a ramp]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, neutralAlign]"
The helmeted girl is riding a bike,A woman is performing a trick on a ramp with a bicycle,"[The helmeted girl, is riding a bike, is riding a bike]","[on a ramp, A woman, is performing a trick]","[unaligned, unaligned, neutralAlign]"
A woman is performing a trick on a ramp with a bicycle,The helmeted girl is perching on a bike,"[A woman, is performing a trick, on a ramp, on a ramp, with a bicycle]","[is perching, The helmeted girl, is perching, on a bike, The helmeted girl]","[unaligned, unaligned, unaligned, entailAlign, unaligned]"
A blonds girl is surfing,A blond girl is riding the waves,"[A blonds girl, A blonds girl, is surfing]","[is riding the waves, A blond girl, is riding the waves]","[unaligned, entailAlign, entailAlign]"
A lady is surfing and riding a wave,A boy is surfing and riding a wave,"[A lady, is surfing, is surfing, and riding a wave, and riding a wave]","[is surfing, and riding a wave, is surfing, A boy, and riding a wave]","[unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A woman is surfing,A blond girl is riding the waves,"[A woman, A woman, is surfing]","[is riding the waves, A blond girl, is riding the waves]","[unaligned, neutralAlign, entailAlign]"
A lady is surfing and riding a wave,A blonds girl is surfing,"[A lady, is surfing, is surfing, and riding a wave]","[is surfing, A blonds girl, is surfing, A blonds girl]","[unaligned, unaligned, entailAlign, unaligned]"
A blond girl waves while she is riding,A lady is surfing and riding a wave,"[A blond girl, A blond girl, waves while she, is riding, is riding]","[and riding a wave, A lady, is surfing, and riding a wave, is surfing]","[unaligned, neutralAlign, unaligned, unaligned, entailAlign]"
Two children and an adult are standing next to a tree limb,Two children and an adult are not standing next to a tree limb,"[Two children, Two children, and an adult, and an adult, are standing next, to a tree limb, to a tree limb]","[to a tree limb, Two children, to a tree limb, and an adult, to a tree limb, are not, to a tree limb]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, entailAlign]"
Two children and an adult are standing next to a tree limb,Two children are climbing a tree,"[Two children, Two children, and an adult, are standing next, to a tree limb]","[are climbing a tree, Two children, are climbing a tree, are climbing a tree, are climbing a tree]","[unaligned, entailAlign, unaligned, unaligned, unaligned]"
Two children and an adult are standing next to a tree limb,Two children are hanging on a large branch,"[Two children, Two children, and an adult, are standing next, are standing next, to a tree limb]","[are hanging, Two children, are hanging, on a large branch, are hanging, on a large branch]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign, unaligned]"
A man dressed in black is riding a bike,A man is performing a trick on a bike,"[A man, A man, dressed in black, is riding a bike]","[is performing a trick, A man, is performing a trick, on a bike]","[unaligned, entailAlign, unaligned, neutralAlign]"
A man is performing stunts on a green bicycle,A man is performing a trick on a green bicycle,"[A man, A man, is performing stunts, is performing stunts, on a green bicycle]","[on a green bicycle, A man, on a green bicycle, is performing a trick, on a green bicycle]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
There is no man dressed in black and riding a green bike,A man is performing a trick on a green bicycle,"[There is, no man, dressed in black, and riding a green bike]","[on a green bicycle, on a green bicycle, on a green bicycle, is performing a trick]","[unaligned, unaligned, unaligned, unaligned]"
A boy is holding a squirt gun,A child is holding a squirt gun,"[A boy, A boy, is holding a squirt gun]","[is holding a squirt gun, A child, is holding a squirt gun]","[unaligned, entailAlign, entailAlign]"
A laughing child is holding a water gun and getting sprayed with water,A child with a gun that sprays water is laughing and getting hit by other boys,"[A laughing child, A laughing child, is holding a water gun, and getting, and getting, sprayed with water, sprayed with water]","[and getting, A child, hit by other boys, hit by other boys, and getting, is laughing, that sprays water]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
There is no child holding a water gun or getting sprayed with water,A laughing child is holding a water gun and getting sprayed with water,"[There is, no child, holding a water gun, holding a water gun, or getting, or getting, sprayed with water, sprayed with water]","[A laughing child, is holding a water gun, and getting, is holding a water gun, A laughing child, and getting, A laughing child, sprayed with water]","[unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
A child with a gun that sprays water is laughing and getting hit by other boys,A child is holding a squirt gun,"[A child, A child, with a gun, that sprays water, is laughing, and getting, hit by other boys]","[is holding a squirt gun, A child, is holding a squirt gun, is holding a squirt gun, is holding a squirt gun, is holding a squirt gun, is holding a squirt gun]","[unaligned, entailAlign, unaligned, unaligned, unaligned, unaligned, unaligned]"
Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,"[Two daschunds, are playing, are playing, with a red ball, with a red ball]","[with a small red ball, with a small red ball, are playing, Two dogs, with a small red ball]","[unaligned, unaligned, entailAlign, unaligned, entailAlign]"
Two cats are playing with a red ball,Two daschunds are playing with a red ball,"[Two cats, are playing, are playing, with a red ball, with a red ball]","[are playing, with a red ball, are playing, Two daschunds, with a red ball]","[unaligned, unaligned, entailAlign, unaligned, entailAlign]"
Two brown dogs are fighting over a red ball and are playing in the grass,Two dogs are playing with a small red ball,"[Two brown dogs, Two brown dogs, are fighting, over a red ball, over a red ball, and are, playing in the grass]","[with a small red ball, Two dogs, with a small red ball, are playing, with a small red ball, are playing, are playing]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
There is no dog playing with a red ball,Two daschunds are playing with a red ball,"[There is, no dog, playing with a red ball, playing with a red ball]","[with a red ball, with a red ball, Two daschunds, with a red ball]","[unaligned, unaligned, unaligned, entailAlign]"
